scorer,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000
bodyparts,rf,rf,rf,lf,lf,lf,rh,rh,rh,lh,lh,lh
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
115,623.1539307,226.9662628,0.997980893,648.0543213,224.9936371,0.985436618,612.2970581,273.7912598,0.964076519,652.8326416,269.8695984,0.961176813
116,623.1500244,226.9662628,0.998137653,647.8222656,224.9936371,0.984529316,612.3062744,273.7912598,0.960713506,652.8326416,269.8695984,0.958642304
117,623.1500244,226.9662628,0.998250902,647.8158569,224.8666534,0.984436393,612.2970581,273.5319519,0.965482712,652.8326416,270.032196,0.960409224
118,623.1539307,226.7611694,0.998280585,647.8158569,224.7473602,0.984431922,612.28302,273.5319519,0.96350944,652.8326416,270.2123108,0.962079048
119,623.2672729,226.5590363,0.998316526,647.8158569,224.7473602,0.985020638,612.28302,273.5378418,0.964532614,652.8023071,271.2579956,0.96612227
120,623.4970093,225.947876,0.998363674,647.8158569,224.7473602,0.985512555,612.3062744,273.5378418,0.962816238,652.7028198,272.9899597,0.968262434
121,623.4970093,225.947876,0.99779582,647.5721436,224.8134308,0.983710945,612.652771,273.5378418,0.969077647,652.6387939,272.9899597,0.966917098
122,623.4970093,225.947876,0.995338559,647.1738281,226.1268005,0.974424005,612.8938599,273.5378418,0.962417305,652.4997559,272.9899597,0.970604002
123,622.1489868,231.3744202,0.943771303,643.6380615,232.4207001,0.936124802,613.1691895,272.6356506,0.92051053,652.4997559,272.068634,0.964942455
124,622.1008911,231.4680176,0.608723044,643.1880493,237.0988617,0.955563545,613.953064,262.7912598,0.918726385,652.4997559,271.7250977,0.961994231
125,620.8474121,232.1525116,0.58385253,643.123291,237.0988617,0.972428977,613.953064,262.5579834,0.914712191,653.2373657,269.5050659,0.960098982
126,620.5863037,233.0714111,0.914198995,643.123291,237.0988617,0.981535554,614.0081787,262.5012512,0.927281916,653.7580566,269.3485718,0.964591682
127,620.5863037,233.0714111,0.931320727,643.1880493,237.0988617,0.983112454,613.953064,262.2849731,0.942556798,653.8452148,269.3485718,0.966237962
128,620.5863037,233.0714111,0.953636527,643.3035889,237.2055817,0.982506752,613.9229126,261.9085999,0.951146841,653.9677124,269.3485718,0.966848612
129,621.8429565,231.3254395,0.98289144,643.739624,237.2055817,0.974684536,613.9215088,261.8847656,0.957187474,654.0159912,269.3772278,0.966913521
130,622.0921631,230.9867859,0.987443328,644.0206299,237.2825775,0.969983101,613.8131104,261.872467,0.960842133,654.0159912,269.5338135,0.96779263
131,622.1008301,230.9768677,0.987513483,644.0487671,237.2825775,0.970849752,613.8131104,261.8847656,0.964317262,654.0686035,269.5705872,0.967611015
132,622.1872559,230.8915405,0.987893522,644.0824585,237.2825775,0.970344663,613.8131104,261.9085999,0.96328038,654.0159912,269.6995239,0.968572795
133,623.184021,230.0272064,0.991993129,645.1185303,236.130127,0.94679147,613.9738159,262.5907898,0.950068891,653.9622192,269.9963684,0.968919218
134,623.9920654,227.1263123,0.994786263,645.1185303,235.7472839,0.932507455,613.9871826,263.7600708,0.942499459,653.1020508,271.8087158,0.966877997
135,624.6520996,226.9788818,0.993710756,645.1185303,235.7472839,0.92013061,613.9873047,263.7600708,0.965512693,652.6768188,272.8247375,0.966254592
136,624.9367065,226.874054,0.990324676,644.8381348,235.7472839,0.92677331,614.0343628,263.7600708,0.972271144,652.3978271,273.0917358,0.961825848
137,625.5877686,226.628006,0.972539306,644.8381348,235.6893768,0.944625735,614.0343628,262.4679871,0.96481216,651.7644043,273.4373474,0.957245946
138,625.7897339,225.5791779,0.688330889,644.8381348,234.9904633,0.966367245,614.0603638,262.4679871,0.939309716,651.4640503,273.420929,0.958176255
139,628.0124512,223.464798,0.475525886,644.9298706,234.7012177,0.974388361,614.0994263,262.4679871,0.92656076,651.4569092,273.420929,0.957446516
140,628.781311,220.0752106,0.848496974,645.6716309,234.6360016,0.982619941,614.1331177,262.9538879,0.927831829,651.4127808,273.420929,0.958673477
141,629.5174561,219.8248444,0.864166439,646.3783569,234.2011566,0.981655598,614.2011719,264.0984802,0.939989626,651.4127808,272.8789063,0.959827721
142,630.09729,219.4780426,0.8167184,646.392395,233.6110687,0.98366338,614.2294312,264.0984802,0.928932905,651.3516846,272.5252075,0.958196223
143,630.3401489,218.1805115,0.920674801,646.56604,232.8970795,0.981704414,614.2661133,264.0984802,0.949041128,651.4127808,272.4129944,0.964123666
144,631.9406128,217.3653717,0.971463323,646.56604,229.9165649,0.780844986,614.4038696,261.1566162,0.965269089,651.5016479,272.0162964,0.959933877
145,632.1472778,217.0634766,0.982949018,653.3978882,213.294281,0.422054172,614.2661133,259.7254944,0.961544752,651.6338501,270.3759155,0.955212831
