scorer,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120
bodyparts,RF,RF,RF,LF,LF,LF,RH,RH,RH,LH,LH,LH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
140,941.5642,713.9673,0.3321996,940.3,711.6981,0.31290305,439.13934,718.05817,0.95846355,485.84637,671.4021,0.6166639
141,941.54425,713.4411,0.31010348,940.3412,711.1802,0.29805797,439.1146,718.0163,0.9554394,485.84637,671.4232,0.63017184
142,941.2774,714.2327,0.29457214,940.3,711.6981,0.27735084,439.04752,718.0163,0.9665951,485.65222,671.4728,0.62002444
143,941.242,714.3718,0.27766657,940.3,711.6981,0.26031926,439.04752,717.9155,0.9824466,485.65222,671.4728,0.62770593
144,687.79456,720.08325,0.18888229,686.2553,718.07806,0.16139455,439.00775,717.7642,0.9562839,485.65222,671.43744,0.64443034
145,687.79456,720.08325,0.18130524,686.2553,718.07806,0.15463948,438.58826,717.7064,0.9497295,485.65222,671.43744,0.6405208
146,687.79456,720.08325,0.20434266,686.2553,718.07806,0.17486066,438.58826,717.30133,0.9589846,484.81927,671.43744,0.63910824
147,687.8197,719.7496,0.20671059,686.2993,717.7443,0.17637813,437.39148,717.30133,0.94527394,484.81183,671.43744,0.6543005
148,688.5979,719.26495,0.21579999,687.1307,717.2066,0.18408257,437.39148,717.26666,0.9271603,484.29364,671.7051,0.67723215
149,934.80725,715.595,0.3686252,932.5339,713.81775,0.32467222,437.39148,717.11,0.9543815,484.29364,672.3935,0.6828867
150,934.80725,715.4619,0.39813447,932.5339,713.51624,0.34817034,437.64926,717.00586,0.9463715,484.29364,672.3935,0.6837786
151,935.0323,715.4619,0.4021046,932.85767,713.4509,0.36451945,437.64926,717.0052,0.9498205,484.96643,672.3935,0.63726026
152,935.0323,715.595,0.39928538,932.85767,713.4509,0.36062267,437.64926,716.902,0.9425605,485.86368,672.2159,0.6124758
153,935.0323,715.4619,0.38819093,932.85767,713.44904,0.35401553,437.61978,716.8367,0.9392898,486.73096,672.0706,0.61316043
154,935.4693,715.4619,0.3816254,935.3272,712.58044,0.34220326,437.61978,716.8367,0.9349246,487.26547,672.0706,0.5765381
155,937.2709,714.9493,0.3808362,936.51263,712.55615,0.35026726,437.61978,716.902,0.9385558,488.21408,672.134,0.5678107
156,937.44244,714.5303,0.3877507,936.9733,712.0354,0.35608172,437.91843,716.9329,0.9353565,488.50333,672.2159,0.56149673
157,938.088,714.02435,0.4089952,937.7218,711.52783,0.37538603,438.24774,717.3276,0.969717,492.70108,672.50256,0.60193974
158,938.76544,713.4385,0.37580517,939.36694,710.8596,0.3481545,440.30392,718.8436,0.9540617,497.2112,677.9713,0.59081554
159,939.20953,713.057,0.3576606,939.75336,710.2476,0.3354115,445.9591,718.8436,1.0,504.69846,684.5125,0.4936307
160,941.9415,711.8206,0.38906422,943.3711,709.3206,0.36957476,460.97327,718.8436,0.9394054,520.0348,688.81287,0.49697796
161,942.29456,711.6657,0.3840888,943.4822,708.9849,0.36528677,485.70645,712.5113,0.8176695,568.24695,705.8098,0.27959415
162,943.72064,711.5089,0.37537646,944.52515,708.95825,0.35759118,487.44363,712.5113,0.7945195,575.114,705.82367,0.63379496
163,943.88153,711.43115,0.36158824,944.8716,708.905,0.34702194,492.90643,712.5113,0.8402713,581.9475,706.2581,0.66719455
164,943.88153,710.05334,0.38872337,944.8716,708.1306,0.36681283,504.2558,712.827,0.88133645,591.58136,707.2355,0.55750954
165,947.1779,710.0347,0.50472385,946.75305,707.1372,0.46325132,506.08212,713.9398,0.8882613,594.6055,707.2355,0.34092858
166,947.3634,709.01215,0.43384922,947.21124,707.1372,0.40082133,506.4284,714.2626,0.86723405,598.489,707.2355,0.4284772
167,1028.9366,709.01215,0.5248432,1028.6047,707.1372,0.46066418,516.1576,714.2626,0.82897645,626.6556,706.0352,0.5310851
168,1030.6708,710.05334,0.50815505,1029.7275,707.24646,0.4379668,529.3728,714.2626,0.90468794,626.6556,706.0352,0.5641542
169,1030.8591,710.1104,0.49330425,1029.7275,708.233,0.4359175,533.98816,711.06433,0.8408845,626.6556,702.96747,0.46034274
170,1031.0068,710.1183,0.48880923,1029.7275,708.4374,0.4295283,537.6211,710.12274,0.77760065,600.5264,694.3644,0.27499884
